membership_id,membership_validity,membership_status
Spencer071ed5,2023-12-09,Valid
Price352385,2023-12-09,Valid
Morris05ed3b,2023-12-09,Valid
Randallfe7f8d,2023-12-09,Valid
Morrisf96575,2023-12-09,Valid
Blackburn0c5fb5,2023-12-09,Valid
Jacobson496c26,2023-12-09,Valid
Jonesc6f5dd,2023-12-09,Valid
Zimmerman881d6b,2023-12-09,Valid
Silva80f7f9,2023-12-09,Valid
Spencerd5b01e,2023-12-09,Valid
Hudson9d6709,2023-12-09,Valid
Petersonc30b89,2023-12-09,Valid
Bird868530,2023-12-09,Valid
Oliver94edc0,2023-12-09,Valid
Maddox6974f9,2023-12-09,Valid
Higginsbc84fd,2023-12-09,Valid
Johnsone0381c,2023-12-09,Valid
Gutierrezc61e82,2023-12-09,Valid
Schultz5fff49,2023-12-09,Valid
Smith473c49,2023-12-09,Valid
Burkeea689e,2023-12-09,Valid
Ramsey4c3e8c,2023-12-09,Valid
Change27c88,2023-12-09,Valid
Hughesbf91b3,2023-12-09,Valid
Morris25892d,2023-12-09,Valid
Romeroe57501,2023-12-09,Valid
Jones2b07e3,2023-12-09,Valid
Kiddad9627,2023-12-09,Valid
Murphy5dc4ee,2023-12-09,Valid
Arroyoa6982e,2023-12-09,Valid
Zunigaa2d94d,2023-12-09,Valid
Waltondc1473,2023-12-09,Valid
Moreno8048c1,2023-12-09,Valid
Lopez93fe37,2023-12-09,Valid
Williamsonb834cd,2023-12-09,Valid
Armstronge8b45f,2023-12-09,Valid
Browning1f631d,2023-12-09,Valid
Gilbertcba398,2023-12-09,Valid
Browncde998,2023-12-09,Valid
Mitchell31c89c,2023-12-09,Valid
Gomez010a6a,2023-12-09,Valid
Pricee8f961,2023-12-09,Valid
Harrisfc2221,2023-12-09,Valid
Franklinf8d94a,2023-12-09,Valid
Morris73a97c,2023-12-09,Valid
Stark919457,2023-12-09,Valid
Johnson8fef3a,2023-12-09,Valid
Jensen676e24,2023-12-09,Valid
Armstrongf79a4f,2023-12-09,Valid
Donovan6c6194,2023-12-09,Valid
Serrano1ec7eb,2023-12-09,Valid
Powell4f74de,2023-12-09,Valid
Lowe73be1b,2023-12-09,Valid
Vega919457,2023-12-09,Valid
Wilson6845cf,2023-12-09,Valid
Leed3d5c7,2023-12-09,Valid
Weaverfeb810,2023-12-09,Valid
Ortega17e397,2023-12-09,Valid
Hamiltonf22761,2023-12-09,Valid
Phillips608c96,2023-12-09,Valid
Simmonscd946d,2023-12-09,Valid
Jimenez5ed59d,2023-12-09,Valid
Lopez7b6211,2023-12-09,Valid
Lawsonc755df,2023-12-09,Valid
Martinezbc0fc2,2023-12-09,Valid
Sullivan614951,2023-12-09,Valid
Jonesf903f1,2023-12-09,Valid
Tran40aaaf,2023-12-09,Valid
Freeman35a3d8,2023-12-09,Valid
Jonescdd9ff,2023-12-09,Valid
Roy57ef7b,2023-12-09,Valid
Simpson7383f7,2023-12-09,Valid
Hopkins56d128,2023-12-09,Valid
King4ae334,2023-12-09,Valid
Robertsonc09d46,2023-12-09,Valid
Hillbd6ccb,2023-12-09,Valid
Stewart40f40c,2023-12-09,Valid
Allenc7f068,2023-12-09,Valid
Johnson5dcd5e,2023-12-09,Valid
Wells5c2c04,2023-12-09,Valid
Archerc62326,2023-12-09,Valid
Kline6fe75a,2023-12-09,Valid
Rodriguez1eec66,2023-12-09,Valid
Rodrigueza7ea38,2023-12-09,Valid
Ortega7f6475,2023-12-09,Valid
Ruize89dfb,2023-12-09,Valid
Mejia10b0a0,2023-12-09,Valid
Baileyb3b3be,2023-12-09,Valid
Perrye86258,2023-12-09,Valid
Jones85733a,2023-12-09,Valid
Brown9035e0,2023-12-09,Valid
Contreras91010f,2023-12-09,Valid
Barajasc09f89,2023-12-09,Valid
Frostddfa15,2023-12-09,Valid
Rasmussen0fcc4a,2023-12-09,Valid
Weberb31655,2023-12-09,Valid
Campbellfe47b1,2023-12-09,Valid
Martin927136,2023-12-09,Valid
Crawforda2a35b,2023-12-09,Valid
Sullivan7d828c,2023-12-09,Valid
Thompson77cc83,2023-12-09,Valid
Hopkinscfbfaf,2023-12-09,Valid
Compton395a9e,2023-12-09,Valid
Gross9a287c,2023-12-09,Valid
Brown8baf8f,2023-12-09,Valid
Stanleya95cd9,2023-12-09,Valid
Jenkinse55376,2023-12-09,Valid
Prestond09229,2023-12-09,Valid
Valdezddc447,2023-12-09,Valid
Parker311d63,2023-12-09,Valid
Williams44d674,2023-12-09,Valid
Taylor10cf54,2023-12-09,Valid
Dean33bccb,2023-12-09,Valid
Allenb02ca6,2023-12-09,Valid
Olsen98e22b,2023-12-09,Valid
Lamb5dc6d5,2023-12-09,Valid
Floresa43fb7,2023-12-09,Valid
Caldwellaa013e,2023-12-09,Valid
Frank97c934,2023-12-09,Valid
Boyleb1a106,2023-12-09,Valid
Martincaab29,2023-12-09,Valid
Parker0793ea,2023-12-09,Valid
Blakeed1550,2023-12-09,Valid
Levybef91e,2023-12-09,Valid
Powellfe4b65,2023-12-09,Valid
Holloway485d06,2023-12-09,Valid
Stone1d9aa4,2023-12-09,Valid
Jones575ba2,2023-12-09,Valid
Tucker0eb60d,2023-12-09,Valid
Andersen610666,2023-12-09,Valid
Lutz3427fd,2023-12-09,Valid
Allen54dd15,2023-12-09,Valid
Decker0c2cab,2023-12-09,Valid
Keller800656,2023-12-09,Valid
Yates0613f5,2023-12-09,Valid
Leef9df7b,2023-12-09,Valid
Long850abd,2023-12-09,Valid
Watson6dc0c1,2023-12-09,Valid
Perez6ff111,2023-12-09,Valid
Thomas6cc50d,2023-12-09,Valid
Olson50aa76,2023-12-09,Valid
Reid1bdd4e,2023-12-09,Valid
Shawafe1c4,2023-12-09,Valid
Boyd94bd78,2023-12-09,Valid
Lewis644d94,2023-12-09,Valid
Garzabe6d15,2023-12-09,Valid
Wilson0ce7d7,2023-12-09,Valid
Thompson9e0583,2023-12-09,Valid
Williams874b3e,2023-12-09,Valid
Mortone4bde6,2023-12-09,Valid
Perryb530f3,2023-12-09,Valid
Herman0ab62b,2023-12-09,Valid
Lopezea3475,2023-12-09,Valid
Webb5b6934,2023-12-09,Valid
Malone73ad1c,2023-12-09,Valid
Barnesf462cf,2023-12-09,Valid
House3cb134,2023-12-09,Valid
Weaver201e16,2023-12-09,Valid
Martinez204f4d,2023-12-09,Valid
Small09b680,2023-12-09,Valid
Clined04f7b,2023-12-09,Valid
Ware0b5e6e,2023-12-09,Valid
Erickson3df9d8,2023-12-09,Valid
Nguyen6a5e70,2023-12-09,Valid
Brown1d91b6,2023-12-09,Valid
Martinez7564a0,2023-12-09,Valid
Forbes60d809,2023-12-09,Valid
Stephens5a6e3d,2023-12-09,Valid
Mayod6f2e8,2023-12-09,Valid
Chen7d3b15,2023-12-09,Valid
Dalton32ce48,2023-12-09,Valid
Bennettdcbc8e,2023-12-09,Valid
King89592d,2023-12-09,Valid
Moyer839f37,2023-12-09,Valid
Blakee7660c,2023-12-09,Valid
Combs2d19f0,2023-12-09,Valid
Evans62a52d,2023-12-09,Valid
Day69b708,2023-12-09,Valid
Boyd9e514e,2023-12-09,Valid
Barnesbc727b,2023-12-09,Valid
Watkinsc99644,2023-12-09,Valid
Ortizc84c21,2023-12-09,Valid
Marquez7aa36b,2023-12-09,Valid
Hughes0c3d29,2023-12-09,Valid
Rojas1f285c,2023-12-09,Valid
Lewis07faff,2023-12-09,Valid
Martin823815,2023-12-09,Valid
Chandler4ab754,2023-12-09,Valid
Crosby9b4b3c,2023-12-09,Valid
Hudson01af18,2023-12-09,Valid
Leed79994,2023-12-09,Valid
Yoder701081,2023-12-09,Valid
Harmon695981,2023-12-09,Valid
Harrell7257b7,2023-12-09,Valid
Johnsona67f31,2023-12-09,Valid
Harrison087c81,2023-12-09,Valid
Moorec62aad,2023-12-09,Valid
Rogers656af4,2023-12-09,Valid
Tranb0eca9,2023-12-09,Valid
Conwayae4271,2023-12-09,Valid
Clark350612,2023-12-09,Valid
Cole92aa4e,2023-12-09,Valid
Williamson2b72ad,2023-12-09,Valid
Wrightf1b731,2023-12-09,Valid
Rogers3818bf,2023-12-09,Valid
Lewis11948d,2023-12-09,Valid
Bolton06e0a4,2023-12-09,Valid
Lewise0082d,2023-12-09,Valid
Ramirez63293d,2023-12-09,Valid
Sharp7f0b37,2023-12-09,Valid
Buck542b91,2023-12-09,Valid
Anderson542fb5,2023-12-09,Valid
Andrewsbbb39d,2023-12-09,Valid
Harris526cae,2023-12-09,Valid
Owens620f19,2023-12-09,Valid
Koch439718,2023-12-09,Valid
Obrien00e34d,2023-12-09,Valid
Rogers160f63,2023-12-09,Valid
Bailey13f67b,2023-12-09,Valid
Collins120bd8,2023-12-09,Valid
Lawsoncbf97e,2023-12-09,Valid
Castaneda7660ad,2023-12-09,Valid
Middleton02dfcc,2023-12-09,Valid
Ortiz66abd6,2023-12-09,Valid
Harper709ac1,2023-12-09,Valid
Burnsf2b3af,2023-12-09,Valid
Prestonb6298b,2023-12-09,Valid
Hodges0c95aa,2023-12-09,Valid
Orozco02d2bd,2023-12-09,Valid
Nguyen6f5461,2023-12-09,Valid
Hill2c87a6,2023-12-09,Valid
Martineza7c339,2023-12-09,Valid
Hille24f9e,2023-12-09,Valid
Whitee99606,2023-12-09,Valid
Spencerc21d73,2023-12-09,Valid
Chanf9d1ec,2023-12-09,Valid
Dominguez401336,2023-12-09,Valid
Alia27465,2023-12-09,Valid
Stephensbaaae3,2023-12-09,Valid
Wolfdbc295,2023-12-09,Valid
Schaeferac7f3e,2023-12-09,Valid
Morris9ba0c6,2023-12-09,Valid
Kelleyf31014,2023-12-09,Valid
Turnera2281a,2023-12-09,Valid
Perry1c3c64,2023-12-09,Valid
Cruz7bf566,2023-12-09,Valid
Smith69b708,2023-12-09,Valid
Longf0fcab,2023-12-09,Valid
Taylor757b69,2023-12-09,Valid
Morales3cabc1,2023-12-09,Valid
Johnson5c5943,2023-12-09,Valid
Pacheco7ccf5c,2023-12-09,Valid
Schmidtbe25c3,2023-12-09,Valid
Hill2b641d,2023-12-09,Valid
Case1fe51a,2023-12-09,Valid
Alvarezaf3210,2023-12-09,Valid
Reyes0a636d,2023-12-09,Valid
Le44e841,2023-12-09,Valid
Anthony91ec3d,2023-12-09,Valid
Hill0d4d98,2023-12-09,Valid
Davisdbcb2f,2023-12-09,Valid
Brown1ebf83,2023-12-09,Valid
Garcia72e9b2,2023-12-09,Valid
Swansonb3ea59,2023-12-09,Valid
Frank4dfb90,2023-12-09,Valid
Perryd9da10,2023-12-09,Valid
Schmidt54bf24,2023-12-09,Valid
Gray15cd60,2023-12-09,Valid
Delgadof68ba9,2023-12-09,Valid
Ford367013,2023-12-09,Valid
Rodriguez3a35bc,2023-12-09,Valid
Grimes2efc51,2023-12-09,Valid
Solomon23bae2,2023-12-09,Valid
Miller5c2c04,2023-12-09,Valid
Conner719707,2023-12-09,Valid
Garcia14ae78,2023-12-09,Valid
Fuller9068b7,2023-12-09,Valid
Wilsonda57e4,2023-12-09,Valid
Dominguezdb12a6,2023-12-09,Valid
Jamese7a3a7,2023-12-09,Valid
Mccartya4b9de,2023-12-09,Valid
Christian90eb36,2023-12-09,Valid
Watson61db68,2023-12-09,Valid
Ruiz956d35,2023-12-09,Valid
Wood67f271,2023-12-09,Valid
Knight10192a,2023-12-09,Valid
Fisher277033,2023-12-09,Valid
Howea7c946,2023-12-09,Valid
Kimc0e4a8,2023-12-09,Valid
Maciasa41162,2023-12-09,Valid
Jackson89ce69,2023-12-09,Valid
Huffmanfb25a2,2023-12-09,Valid
Stone9ab9f8,2023-12-09,Valid
Mata53cfc3,2023-12-09,Valid
Merritt696fdb,2023-12-09,Valid
Alexander124381,2023-12-09,Valid
Sanderse9c2f8,2023-12-09,Valid
Jonesfae51f,2023-12-09,Valid
Juarezab899b,2023-12-09,Valid
David39e9f8,2023-12-09,Valid
Barajas62836c,2023-12-09,Valid
Johnson5dcbaa,2023-12-09,Valid
Sparksa67f31,2023-12-09,Valid
Serranoc59d5c,2023-12-09,Valid
Hille971ed,2023-12-09,Valid
Hart3b2649,2023-12-09,Valid
Ho735510,2023-12-09,Valid
Rodriguezc3743a,2023-12-09,Valid
Knighte66abd,2023-12-09,Valid
Arroyo440224,2023-12-09,Valid
Larson067142,2023-12-09,Valid
Lopezb6ee88,2023-12-09,Valid
Vazquez13d09f,2023-12-09,Valid
Salazarcf1ae7,2023-12-09,Valid
Hicks5e5f20,2023-12-09,Valid
Davila1977b8,2023-12-09,Valid
Oneill7278cc,2023-12-09,Valid
Millsf511aa,2023-12-09,Valid
Hulld01176,2023-12-09,Valid
Montgomery1a3346,2023-12-09,Valid
Bailey13beba,2023-12-09,Valid
Wrightfefcf4,2023-12-09,Valid
Millerd66763,2023-12-09,Valid
Brown565a73,2023-12-09,Valid
Moorea6529a,2023-12-09,Valid
Haynesdd4dab,2023-12-09,Valid
Newman15a276,2023-12-09,Valid
Fergusonfb4589,2023-12-09,Valid
Swanson0be9cc,2023-12-09,Valid
Dyer7b5ce8,2023-12-09,Valid
Rodrigueza9b997,2023-12-09,Valid
Rodriguezf13032,2023-12-09,Valid
Anderson7118fe,2023-12-09,Valid
Huynh1735e5,2023-12-09,Valid
Allen013af3,2023-12-09,Valid
Peck723a26,2023-12-09,Valid
Lee7f12ff,2023-12-09,Valid
Allen7a4f23,2023-12-09,Valid
Mcdaniel500617,2023-12-09,Valid
Mitchell06d3f9,2023-12-09,Valid
Sanchez9f2667,2023-12-09,Valid
Ellisb9ff03,2023-12-09,Valid
Salinas8ad1c3,2023-12-09,Valid
Walsh8cd295,2023-12-09,Valid
Danielsc934da,2023-12-09,Valid
Knoxd64ed8,2023-12-09,Valid
Mitchell1bdd4e,2023-12-09,Valid
Hendricksa352c8,2023-12-09,Valid
Kerra02d82,2023-12-09,Valid
Aguilard36615,2023-12-09,Valid
Hall0bc149,2023-12-09,Valid
Knight7e064e,2023-12-09,Valid
Cross36c08a,2023-12-09,Valid
Myers1466d1,2023-12-09,Valid
Mckee92c0ea,2023-12-09,Valid
Parka639e6,2023-12-09,Valid
Castro49d900,2023-12-09,Valid
Carroll783912,2023-12-09,Valid
Fletchere6fffc,2023-12-09,Valid
Murphyecd95e,2023-12-09,Valid
Russell203e49,2023-12-09,Valid
Andrews776f9a,2023-12-09,Valid
Hernandez3d7b1b,2023-12-09,Valid
Harrise20bdc,2023-12-09,Valid
Morales867f3f,2023-12-09,Valid
Dennis14df34,2023-12-09,Valid
Mendozafa60de,2023-12-09,Valid
Kruegerb37c9c,2023-12-09,Valid
Mcdaniel4de3f7,2023-12-09,Valid
Smith85c0b7,2023-12-09,Valid
Diaz0bd1dc,2023-12-09,Valid
Snyderd3f05c,2023-12-09,Valid
Jenkins27fe61,2023-12-09,Valid
Haynes18bc27,2023-12-09,Valid
Robertsd606a5,2023-12-09,Valid
Nelsonfde1dd,2023-12-09,Valid
Hoodbb6b93,2023-12-09,Valid
Charles024858,2023-12-09,Valid
Miller28ba0a,2023-12-09,Valid
Johnson8eba47,2023-12-09,Valid
Cooka5121a,2023-12-09,Valid
Lane24958c,2023-12-09,Valid
Nelsonf7fc33,2023-12-09,Valid
Ramsey843ef9,2023-12-09,Valid
Beltranb42ac8,2023-12-09,Valid
Jefferson841277,2023-12-09,Valid
Ferguson8004f3,2023-12-09,Valid
Stuart42d02b,2023-12-09,Valid
Vaughan400569,2023-12-09,Valid
Fuentes0598c7,2023-12-09,Valid
Carpenter4acee9,2023-12-09,Valid
Garciad383b3,2023-12-09,Valid
Maddend8100f,2023-12-09,Valid
Myers963657,2023-12-09,Valid
Baker726e6d,2023-12-09,Valid
Coxc2d501,2023-12-09,Valid
Sanders65a5dc,2023-12-09,Valid
Boyle7540af,2023-12-09,Valid
Fishercd40a0,2023-12-09,Valid
Lopezd2a7df,2023-12-09,Valid
Ortizfed1fb,2023-12-09,Valid
Macias76606d,2023-12-09,Valid
Drake1697ce,2023-12-09,Valid
Austin69ddb3,2023-12-09,Valid
Clarkb12918,2023-12-09,Valid
Olson4c0a6b,2023-12-09,Valid
Love011951,2023-12-09,Valid
Jordan26d57f,2023-12-09,Valid
Leblanc25e89e,2023-12-09,Valid
Floydee7c05,2023-12-09,Valid
Hayden44dbe5,2023-12-09,Valid
Hodgesc32058,2023-12-09,Valid
Millerb1a7bc,2023-12-09,Valid
Orozco32e5d9,2023-12-09,Valid
Johnsbd3509,2023-12-09,Valid
Davisd9ba61,2023-12-09,Valid
Owen1c1c8c,2023-12-09,Valid
Russelleeae94,2023-12-09,Valid
Cruza019e5,2023-12-09,Valid
Castaneda1e9a55,2023-12-09,Valid
Peters62c2df,2023-12-09,Valid
Malone820578,2023-12-09,Valid
Salazar8a3911,2023-12-09,Valid
Morrised007a,2023-12-09,Valid
Martinezfa7cbb,2023-12-09,Valid
Powell89e264,2023-12-09,Valid
Powellc3379b,2023-12-09,Valid
Sandoval6592db,2023-12-09,Valid
Gonzalezbc4a42,2023-12-09,Valid
Caldwell92d768,2023-12-09,Valid
Wyattac546c,2023-12-09,Valid
Garciaa540e6,2023-12-09,Valid
Andersona86c0e,2023-12-09,Valid
Hughes5403fe,2023-12-09,Valid
Scottaf31db,2023-12-09,Valid
Conwayb17c3c,2023-12-09,Valid
Petty89b4f6,2023-12-09,Valid
Oneal1a34ff,2023-12-09,Valid
Jones7290cb,2023-12-09,Valid
Cohen0fcc4a,2023-12-09,Valid
Gutierrez8e2f3e,2023-12-09,Valid
Williamsc20d32,2023-12-09,Valid
Allen8c0004,2023-12-09,Valid
Kelly0c61de,2023-12-09,Valid
Villa19bdda,2023-12-09,Valid
Jackson40b1bf,2023-12-09,Valid
Williams10ae3a,2023-12-09,Valid
Hernandez045444,2023-12-09,Valid
Garcia6967c8,2023-12-09,Valid
Bailey255ab5,2023-12-09,Valid
Edwardse7bbf9,2023-12-09,Valid
Kirk079a30,2023-12-09,Valid
Carrillod036e7,2023-12-09,Valid
Stephensondd8906,2023-12-09,Valid
Flynn066c3e,2023-12-09,Valid
Perez7a5c3d,2023-12-09,Valid
Klinee724e4,2023-12-09,Valid
Baker4cd378,2023-12-09,Valid
Powelld1cfb3,2023-12-09,Valid
Thomas2a3b97,2023-12-09,Valid
Murray8d3f74,2023-12-09,Valid
Jackson5ae26d,2023-12-09,Valid
